Participant,Error_Count,Average_Words_per_Prompt,Errors_per_ Word
P1,1,11.81818182,0.007692308
P2,1,12,0.009259259
P3,18,27,0.066666667
P4,12,19.5,0.102564103
P5,1,10.57142857,0.013513514
P6,3,32,0.013392857
P7,18,18.75,0.06
P8,11,10.6,0.103773585
P9,0,9.333333333,0
P10,1,21,0.007936508
P11,1,10.4375,0.005988024
P12,32,24.76923077,0.099378882
P13,7,19.66666667,0.059322034
P14,20,22.18181818,0.081967213
P15,24,17.7,0.13559322
P16,15,19.46666667,0.051369863
P17,11,16.9,0.065088757
P18,6,9.727272727,0.056074766
P19,6,13.6,0.029411765
P20,5,7.222222222,0.076923077
P21,3,13.28571429,0.032258065
P22,2,15.6,0.012820513
P23,15,11,0.090909091
P24,18,4.333333333,0.115384615
P25,11,7.375,0.186440678
P26,3,9.6,0.03125
P27,3,15.55555556,0.021428571
P28,26,23,0.086956522
P29,56,28.6875,0.122004357
P30,7,12.4,0.056451613
P31,10,10.625,0.117647059
MIN,0,4.333333333,0
MAX,56,32,0.186440678
