Timestamp,What is the case number allocated to you?,What is your age group? ,What gender you identify with?  ,What is your highest education Level? ,What is your employment Status? ,How would you rate your computing proficiency? ,"Prior to this study, have you ever used generative AI Language tool such as ChatGPT or Gemini?",In what capacity have you used them (LLMs or similar AI technologies)? (Please select all that apply) ,1.        Using ChatGPT helped me accomplish the task more quickly.,2.        Using ChatGPT increased my productivity in completing the task.,"3.        Overall, I found ChatGPT useful in completing the task.",4.        ChatGPT provided relevant information that helped me complete the task.,5.        I was confident in the accuracy and reliability of the answers provided by ChatGPT. ,6.        It was very easy to interact with ChatGPT.,7.        My interaction with ChatGPT was clear and understandable.,8.        I found ChatGPT easy to use.,9.        Learning to operate ChatGPT interface was easy for me.,10.        People who are important to me think that I should use ChatGPT.,11.        People who influence my behavior think that I should use ChatGPT.,12.        People whose opinions I value prefer that I use ChatGPT.,13.        I am confident in using ChatGPT for the task.,14.        I know how to use ChatGPT. ,15.        I am good at searching for information using ChatGPT.,16.        I think the information provided by ChatGPT can be trusted.,17.        ChatGPT is reliable. ,18.        I can depend on the information provided by ChatGPT.,19.        I intend to use ChatGPT in the future.,20.       I am satisfied with the experience of using ChatGPT to completing the given task.,20.       I am satisfied with the experience of using ChatGPT to completing the given task.,21.        What did you like most about using ChatGPT for this task?,22.       What challenges did you face while using ChatGPT for this task?,23.        Do you have any suggestions on how ChatGPT 's usability can be improved for tasks like this?,Participant Consent, Task Completion
8/8/2024 11:56:36,3,35-44,Male,Postgraduate Degree,Student,Advanced,Yes,For personal interest or tasks,3,4,5,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,,Readily available information in ChatGPT,Secured internet connection,No,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
8/8/2024 12:19:52,4,35-44,Male,Postgraduate Degree,Student,Intermediate,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",4,4,4,4,4,4,4,4,4,2,3,3,4,4,4,4,3,4,5,4,,It makes my work easier,I didn't face any challenges,No,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
8/8/2024 12:49:28,5,35-44,Female,Postgraduate Degree,Student,Intermediate,Yes,"For work or professional tasks, For personal interest or tasks",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,It gives all the relevant information with the pricing ,NO challenges,NA,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
8/13/2024 21:01:07,6,35-44,Male,Postgraduate Degree,Employed full-time,Advanced,Yes,For academic or research purposes,5,5,5,5,4,5,5,5,5,3,3,3,4,5,5,3,3,3,4,5,,scheduling the trip and suggesting the places of attraction/ visit,sometimes it gives the same answer several times when we request more detailed information. So it is challenging to conclude information.,"better if ChatGPT can provide links (Web link) for the places of attraction etc. Then the user can visit relevant web pages and get an idea at the same time, while staying in the same interface. Otherwise the user has to browse the places of attraction/ accomodation again to check whether they are accepted according to our perception.",I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
8/17/2024 17:33:24,7,45-54,Female,College Graduate,Employed full-time,Novice,Yes,For work or professional tasks,5,4,4,5,4,4,4,5,5,3,1,2,4,5,4,3,4,2,4,4,,it is easy to use and give more details without searching in google,to select best option,none,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
8/18/2024 17:15:14,9,55-64,Male,Postgraduate Degree,Employed full-time,Expert,Yes,For work or professional tasks,3,5,3,3,2,5,5,5,5,3,4,4,3,5,5,2,2,1,5,3,,Quick & mostly relevant answers,Nothing,Input wider context ,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
8/18/2024 17:44:33,8,18-24,Male,College Graduate,Employed full-time,Advanced,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",5,5,4,4,3,5,5,5,5,4,4,4,4,4,4,3,4,4,5,4,,Ease of Use.,Writing a prompt that conveys the needed result.,,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
8/18/2024 18:33:28,10,25-34,Female,Postgraduate Degree,Student,Expert,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",5,5,4,4,3,5,5,5,5,4,4,4,5,5,5,2,2,2,5,5,,I can get everything I am looking for by asking a single question ,"It tends to repeat the same, lacking originality in some instances ",By asking more direct and detailed questions ,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
8/24/2024 19:04:55,1,35-44,Male,Postgraduate Degree,Employed part-time,Expert,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",4,5,4,4,3,5,5,5,5,4,4,4,5,5,5,3,4,3,4,4,,Code generation,.,.,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
8/29/2024 20:23:50,14,25-34,Female,Postgraduate Degree,Employed full-time,Advanced,Yes,For academic or research purposes,5,5,5,4,3,5,5,4,5,3,3,3,5,5,5,3,3,2,4,5,,User friendliness ,Some details are confusing,,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
